Date,Open,High,Low,Close,Volume,Adj Close
2007-11-14,129.32,129.58,126.90,127.64,107700,39.44
2007-11-13,124.76,127.32,123.88,127.30,219900,39.33
2007-11-12,132.02,132.02,124.85,124.88,295800,38.58
2007-11-09,133.10,133.10,130.25,131.02,162000,40.48
2007-11-08,133.49,135.14,131.00,133.36,316800,41.20
2007-11-07,136.00,136.53,132.43,132.50,276600,40.94
2007-11-06,132.91,136.15,132.91,136.08,180300,42.04
2007-11-05,133.00,133.13,131.20,132.50,141300,40.94
2007-11-02,132.49,133.60,130.52,133.60,219900,41.28
2007-11-01,132.48,134.20,130.70,131.33,280200,40.58
2007-10-31,132.19,134.52,131.40,134.32,302400,41.50
2007-10-30,133.49,133.49,130.59,130.89,229200,40.44
2007-10-29,134.45,134.90,134.00,134.66,159000,41.60
2007-10-26,132.98,133.64,132.45,133.64,149400,41.29
2007-10-25,131.01,131.95,130.08,131.81,173400,40.72
2007-10-24,129.10,130.56,128.00,130.27,229500,40.25
2007-10-23,128.80,129.77,127.30,129.77,212700,40.09
2007-10-22,126.92,127.97,125.86,127.97,307200,39.54
2007-10-19,133.71,133.71,129.28,129.28,328500,39.94
2007-10-18,133.59,134.70,133.13,134.70,465900,41.62
2007-10-17,134.59,134.79,132.16,133.60,534900,41.28
2007-10-16,133.83,134.23,133.08,133.91,130200,41.37
2007-10-15,134.88,135.22,133.40,134.32,179400,41.50
2007-10-12,132.62,133.23,131.97,132.87,108000,41.05
2007-10-11,133.50,134.74,130.68,132.16,327000,40.83
2007-10-10,130.22,132.47,129.51,131.97,252900,40.77
2007-10-09,128.80,130.80,128.80,130.77,181800,40.40
2007-10-08,128.88,129.29,128.26,128.50,113400,39.70
2007-10-05,129.46,130.12,128.73,129.96,144900,40.15
2007-10-04,128.16,129.22,126.67,129.02,167100,39.86
2007-10-03,128.99,128.99,127.71,128.20,107700,39.61
2007-10-02,129.89,129.89,127.76,129.50,593100,40.01
2007-10-01,128.48,130.71,128.48,130.40,172500,40.29
2007-09-28,130.13,130.30,128.35,128.75,137700,39.78
2007-09-27,128.99,129.41,128.24,129.30,126000,39.95
2007-09-26,128.99,128.99,126.14,128.01,231600,39.55
2007-09-25,128.08,128.08,127.01,128.08,238800,39.52
2007-09-24,130.29,130.29,128.94,129.48,284400,39.95
2007-09-21,129.73,130.82,129.73,130.03,161100,40.12
2007-09-20,129.47,129.56,128.60,129.38,142200,39.92
2007-09-19,129.44,130.00,128.18,128.70,274800,39.71
2007-09-18,124.98,128.52,124.06,128.32,127500,39.59
2007-09-17,124.59,127.41,123.85,124.28,396600,38.34
2007-09-14,123.75,125.11,123.75,124.61,96900,38.45
2007-09-13,123.70,124.85,123.70,124.27,143700,38.34
2007-09-12,122.20,123.69,122.20,123.13,135000,37.99
2007-09-11,120.89,122.44,119.86,122.44,291300,37.78
2007-09-10,120.60,121.13,118.02,120.54,205500,37.19
2007-09-07,121.09,121.46,120.12,121.30,205800,37.42
2007-09-06,122.54,122.89,121.65,122.64,197700,37.84
2007-09-05,121.19,121.44,120.40,121.19,322500,37.39
2007-09-04,119.29,122.39,119.10,121.58,464400,37.51
2007-08-31,119.49,119.77,118.59,119.00,88500,36.72
2007-08-30,116.51,118.13,116.51,117.34,151200,36.20
2007-08-29,114.99,117.70,114.87,117.64,81600,36.30
2007-08-28,115.98,116.27,113.89,114.22,136800,35.24
2007-08-27,117.28,117.90,116.48,117.30,423300,36.19
2007-08-24,116.79,118.36,116.55,118.30,93900,36.50
2007-08-23,116.99,117.14,114.79,116.24,222900,35.86
